pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
405.0,7290,-23.3,-27.3,240.0,84.0,72.74613391789283,42.000000000000036,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
400.0,7380,-23.7,-29.7,240.0,84.0,72.74613391789283,42.000000000000036,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
398.0,7417,-23.9,-29.9,240.0,84.0,72.74613391789283,42.000000000000036,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
387.0,7620,-25.6,-31.1,240.0,86.0,74.47818472546172,43.000000000000036,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
376.0,7829,-27.3,-32.3,240.0,88.0,76.21023553303058,44.00000000000004,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
364.0,8063,-28.7,-34.7,240.0,89.0,77.07626093681503,44.50000000000004,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
353.0,8282,-30.5,-35.2,240.0,91.0,78.8083117443839,45.50000000000004,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
327.0,8822,-34.1,-43.1,240.0,95.0,82.27241335952165,47.50000000000004,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
319.0,8995,-35.5,-42.5,240.0,97.0,84.00446416709053,48.50000000000004,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
312.2,9144,-36.7,-44.4,240.0,98.0,84.87048957087497,49.00000000000004,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
300.0,9420,-38.9,-47.9,245.0,99.0,89.72447091662836,41.839207912329215,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
293.0,9582,-39.9,-48.9,245.0,100.0,90.63077870366502,42.26182617406992,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
273.1,10058,-43.5,-55.2,245.0,103.0,93.34970206477496,43.529680959292016,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
270.0,10136,-44.1,-56.3,245.0,103.0,93.34970206477496,43.529680959292016,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
264.0,10288,-45.3,-58.3,246.0,102.0,93.1816366795453,41.48713759373161,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
250.0,10650,-48.1,-59.1,250.0,99.0,93.02956945780494,33.859994189241185,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
249.0,10676,-48.3,-60.3,250.0,99.0,93.02956945780494,33.859994189241185,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
233.0,11111,-50.5,-66.5,252.0,96.0,91.30142556433474,29.665631459994966,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
224.0,11367,-52.3,-70.3,252.0,95.0,90.35036904803958,29.35661446562002,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
201.0,12059,-57.3,-69.3,255.0,90.0,86.93332436601615,23.293714059226858,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
200.0,12090,-57.3,-69.3,255.0,90.0,86.93332436601615,23.293714059226858,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
186.0,12547,-59.3,-72.3,252.0,82.0,77.98663433620258,25.3393935387457,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
176.0,12891,-61.9,-74.9,249.0,76.0,70.95211241378732,27.235964165442855,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
172.0,13034,-61.9,-75.9,248.0,74.0,68.61160523794226,27.72088791277751,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
161.7,13411,-64.3,-77.9,245.0,67.0,60.72262173145556,28.315423536626845,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
150.0,13870,-67.3,-80.3,240.0,77.0,66.68395609140177,38.500000000000036,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
146.0,14032,-68.3,-81.3,240.0,80.0,69.28203230275508,40.000000000000036,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
136.0,14455,-70.1,-83.1,240.0,87.0,75.34421012924615,43.500000000000036,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
132.1,14630,-69.4,-82.4,250.0,92.0,86.45172111230357,31.465853185961507,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
130.0,14724,-69.1,-82.1,250.0,92.0,86.45172111230357,31.465853185961507,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
129.0,14770,-68.9,-81.9,249.0,91.0,84.95581881124535,32.61148340862236,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
126.0,14912,-66.7,-81.7,246.0,89.0,81.30554573019148,36.19956123374621,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
120.0,15206,-66.3,-82.3,241.0,85.0,74.34267510684865,41.20881772093863,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
119.3,15240,-66.4,-82.4,240.0,85.0,73.61215932167727,42.500000000000036,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
118.0,15308,-66.7,-82.7,241.0,85.0,74.34267510684865,41.20881772093863,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
116.0,15411,-65.3,-82.3,242.0,85.0,75.05054539300879,39.905082836800716,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
112.0,15624,-66.9,-83.9,245.0,85.0,77.03616189811527,35.92255224795943,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
108.0,15844,-66.3,-85.3,248.0,86.0,79.7378114927437,32.21616703376846,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
105.0,16015,-64.9,-84.9,251.0,86.0,81.31459750154124,27.99886128331547,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
102.0,16190,-66.7,-86.7,253.0,86.0,82.24220901282104,25.14396660615539,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
100.0,16310,-66.5,-86.5,255.0,86.0,83.06962106085987,22.258437878816775,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
98.0,16432,-66.5,-86.5,256.0,74.0,71.80188374442373,17.902220274375416,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
95.8,16571,-63.1,-85.1,258.0,61.0,59.66700364476214,12.682613139883347,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
94.0,16687,-61.9,-84.9,259.0,50.0,49.0813591723832,9.54044976882723,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
92.8,16764,-62.4,-85.6,260.0,43.0,42.34673337952494,7.466871639678004,LZK,72340,2021-12-11,34.84,-92.26,173.0,38.24
