pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
991.0,173,9.4,3.4,305.0,7.0,5.7340643100229425,-4.015035054457322,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
989.0,190,9.4,3.4,305.0,8.0,6.553216354311934,-4.588611490808368,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
966.0,385,7.4,-1.6,303.0,20.0,16.773411358908486,-10.892780700300532,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
939.9,610,5.5,-2.2,300.0,33.0,28.578838324886473,-16.500000000000004,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
925.0,741,4.4,-2.6,305.0,29.0,23.75540928438076,-16.633716654180336,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
913.0,847,5.2,-0.8,308.0,28.0,22.06430110098821,-17.23852130911844,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
908.0,892,6.0,-3.0,309.0,28.0,21.76008692079518,-17.62097094939545,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
905.6,914,6.0,-3.7,310.0,28.0,21.44924440733139,-17.998053071223097,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
892.0,1038,6.2,-7.8,308.0,35.0,27.580376376235265,-21.54815163639805,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
881.0,1140,8.4,-11.6,306.0,41.0,33.16969676937285,-24.09919534399139,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
872.6,1219,8.0,-10.5,305.0,45.0,36.86184199300463,-25.810939635797073,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
864.0,1301,7.6,-9.4,297.0,45.0,40.09529358847656,-20.4295724882796,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
850.0,1435,7.8,-10.2,285.0,46.0,44.43258800929715,-11.905676074715934,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
835.0,1582,9.0,-11.0,276.0,48.0,47.73705097767712,-5.0173662368473435,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
810.4,1829,8.6,-7.5,260.0,51.0,50.22519540362261,8.856057061013447,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
797.0,1967,8.4,-5.6,255.0,51.0,49.262217140742486,13.199771300228551,LZK,72340,2021-12-11 12:00:00,34.84,-92.26,173.0,12.6
