pressure[hPa],height[m],Temperature[degC],Dewpoint[degC],Relative Humidity[%],Environmental Mixing Ratio[g/kg],Wind Direction[deg],Wind Speed[kt],Theta[K],ThetaE[K],ThetaV[K],Parcel Temperature [degC],Saturation Mixing Ratio for the Parcel [unit-less],U Wind Component,V Wind Component,Parcel-Environment Temperature Difference [degC],Environmental Virtual Temperature [degC],Parcel Virtual Temperature [degC],CAPE [J/kg],CIN [J/kg],Temp Gradient [degC]
870.6,1219,18.6,16.6,88.0,13.8,215.0,54.0,303.5,344.7,306.0,18.58038275699866,0.015667943941292346,30.973127562956492,44.23421039160556,0.019617243001334828,294.2059515,294.5185800796338,0.33323704729050574 meter ** 2 / second ** 2,,-0.40000000000000036
867.0,1255,18.4,16.1,86.0,13.45,216.0,54.0,303.7,343.9,306.1,18.435153737332083,0.015588498975225084,31.740403623793544,43.686917696247164,-0.03515373733210936,293.94202197499993,294.35783240816943,1.9546945097985302 meter ** 2 / second ** 2,,-0.8000000000000007
852.0,1405,17.0,15.9,93.0,13.52,220.0,55.0,303.7,344.1,306.2,17.826939262457703,0.015260071720320073,35.35331853275966,42.13244437154379,-0.8269392624576994,292.54292508,293.6855399293413,0.765537264008888 meter ** 2 / second ** 2,,-0.7999999999999989
850.0,1425,16.8,15.3,91.0,13.03,220.0,55.0,303.7,342.7,306.1,17.744084655079902,0.015215242760998083,35.35331853275966,42.13244437154379,-0.9440846550799051,292.25460958499997,293.5939593656967,4.850454916356596 meter ** 2 / second ** 2,,-0.40000000000000036
840.2,1524,16.2,14.4,89.0,12.47,220.0,57.0,304.1,341.5,306.4,17.336912483726852,0.014996871467736652,36.63889375213274,43.66453325778175,-1.13691248372686,291.55099864499994,293.14431336636943,9.425964048109206 meter ** 2 / second ** 2,,-1.25
810.6,1829,14.3,11.8,85.0,10.87,225.0,56.0,305.2,338.0,307.2,16.089289872618913,0.014345024365588075,39.597979746446654,39.59797974644667,-1.7892898726188946,289.355994715,291.7702681156508,24.939048529659498 meter ** 2 / second ** 2,,-1.0
809.0,1846,14.2,11.7,85.0,10.79,225.0,56.0,305.3,337.9,307.3,16.01878650987841,0.01430798631987169,39.597979746446654,39.59797974644667,-1.8187865098784073,289.241308965,291.6926145652039,25.996061299028813 meter ** 2 / second ** 2,,-0.5500000000000007
798.0,1961,13.2,11.8,91.0,11.01,225.0,57.0,305.4,338.7,307.4,15.532867218154474,0.014055448434077663,40.30508652763321,40.305086527633215,-2.3328672181544903,288.273155235,291.1579831820862,18.633540931328177 meter ** 2 / second ** 2,,-0.6999999999999993
795.0,1993,12.8,10.3,85.0,9.99,225.0,58.0,305.3,335.6,307.2,15.398039771369499,0.013985432145777112,41.012193308819754,41.01219330881977,-2.5980397713694856,287.692550705,291.00967588029135,21.921034687236926 meter ** 2 / second ** 2,,0.15000000000000036
781.8,2134,13.5,8.9,74.0,9.23,225.0,59.0,307.5,335.8,309.2,14.801961237298311,0.0136798964685461,41.7193000900063,41.719300090006314,-1.3019612372983147,288.26392549499997,290.3548445780593,2.6301149483599717 meter ** 2 / second ** 2,,0.39999999999999947
