pressure[hPa],height[m],Temperature[degC],Dewpoint[degC],Relative Humidity[%],Environmental Mixing Ratio[g/kg],Wind Direction[deg],Wind Speed[kt],Theta[K],ThetaE[K],ThetaV[K],Parcel Temperature [degC],Saturation Mixing Ratio for the Parcel [unit-less],U Wind Component,V Wind Component,Parcel-Environment Temperature Difference [degC],Environmental Virtual Temperature [degC],Parcel Virtual Temperature [degC],CAPE [J/kg],CIN [J/kg]
751.0,2478,7.8,6.9,94.0,8.38,236.0,42.0,304.9,330.3,306.4,14.032700605316899,0.013546862173675202,34.81957804731176,23.486101945771356,6.232700605316893,282.38616020999996,289.555859528213,,
742.0,2578,7.2,3.0,75.0,6.44,237.0,43.0,305.3,325.1,306.5,13.6012846822381,0.013327526221542298,36.062834421653235,23.41947850564616,6.401284682238099,281.45132693999994,289.08251269429275,,
730.0,2712,6.4,0.4,65.0,5.43,239.0,44.0,305.9,322.7,306.9,13.017126216143764,0.013034029570091378,37.71536123089293,22.661675296042393,6.617126216143788,280.4759534649999,288.44237179504825,,
728.0,2735,6.4,0.4,65.0,5.44,240.0,44.0,306.1,323.0,307.1,12.917707745851155,0.01298409411749225,38.10511776651529,22.00000000000002,6.517707745851169,280.47765871999997,288.33344907107306,,
727.3,2743,6.7,-5.2,43.0,3.6,240.0,44.0,306.5,317.9,307.2,12.882787549724124,0.012966563461714938,38.10511776651529,22.00000000000002,6.182787549724139,280.4645506,288.2951935477799,,
727.0,2746,6.8,-7.2,36.0,3.08,240.0,44.0,306.6,316.5,307.2,12.867803088314709,0.012959042784679707,38.10511776651529,22.00000000000002,6.06780308831469,280.47597006,288.2787784262297,,
719.0,2837,7.6,-12.4,23.0,2.06,240.0,53.0,308.5,315.3,308.9,12.468003726586044,0.012760214090973129,45.89934640057524,26.500000000000025,4.868003726586039,281.10279045,287.8411773208164,,
714.0,2895,9.2,-19.8,11.0,1.12,240.0,58.0,310.9,314.8,311.1,12.21452575282062,0.012634743976228,50.22947341949743,29.000000000000025,3.0145257528206457,282.54290152,287.56388546371926,,
711.0,2930,10.2,-17.8,12.0,1.33,240.0,61.0,312.4,316.9,312.6,12.061052900553532,0.012558994383421476,52.82754963085075,30.50000000000003,1.8610529005535454,283.579881855,287.3960509475488,,
700.9,3048,10.0,-16.1,14.0,1.55,240.0,72.0,313.4,318.8,313.7,11.541516203886207,0.0123055276852233,62.35382907247957,36.00000000000003,1.5415162038862036,283.417718325,286.8285165978672,,
700.0,3059,10.0,-16.0,14.0,1.58,240.0,65.0,313.5,318.9,313.8,11.494349171955882,0.0122825138409672,56.291651245988504,32.50000000000003,1.4943491719558892,283.42289997,286.77699954861504,,
688.0,3202,9.6,-14.4,17.0,1.83,239.0,68.0,314.6,320.9,315.0,10.86439304227606,0.011979557437174736,58.287376447743625,35.022589093883695,1.2643930422760263,283.065633825,286.0898367502809,,
662.0,3520,6.8,-10.2,29.0,2.67,236.0,75.0,315.0,323.9,315.5,9.468203137822687,0.0113286898216494,62.17781794162814,41.939467760305995,2.6682031378226725,280.40595456499994,284.5712364542158,,
653.0,3632,6.0,-5.0,45.0,4.06,235.0,77.0,315.3,328.6,316.1,8.959812331163825,0.01109400748169866,63.07470741025235,44.16538559903057,2.959812331163846,279.84134288999996,284.01894663604793,,
650.9,3658,5.8,-5.3,44.0,3.97,235.0,78.0,315.4,328.4,316.2,8.838994280070462,0.011038380374464165,63.89385945454134,44.73896203538162,3.038994280070426,279.62553321499996,283.88774236603876,,
642.0,3771,5.2,-6.8,42.0,3.6,235.0,79.0,315.9,327.8,316.6,8.324727588563853,0.010804420945560328,64.71301149883034,45.312538471732665,3.1247275885638714,278.9612566,283.3298421684301,,
637.0,3835,4.8,-11.2,30.0,2.56,235.0,80.0,316.2,324.8,316.7,8.030405194366601,0.010671442522079057,65.53216354311932,45.88611490808371,3.230405194366597,278.38404672,283.0107715191102,,
627.0,3962,3.7,-12.6,29.0,2.33,235.0,81.0,316.3,324.2,316.8,7.435487544405798,0.010406397679207126,66.35131558740832,46.45969134443476,3.735487544405828,277.243486905,282.36661688591056,,
603.8,4267,1.0,-15.9,27.0,1.84,240.0,80.0,316.6,322.9,317.0,6.025304791559167,0.009798808026744679,69.28203230275508,40.000000000000036,5.025304791559165,274.45770596,280.84401177421,,
